Date,Open,High,Low,Close
09/26/2024,"15.77","16.38","16.38","16.38"
09/25/2024,"16.50","16.22","16.22","16.22"
09/24/2024,"16.01","16.02","16.02","16.02"
09/23/2024,"17.16","16.37","16.37","16.37"
09/20/2024,"15.54","16.19","16.19","16.19"
09/19/2024,"16.22","15.42","15.42","15.42"
09/18/2024,"16.75","17.06","17.06","17.06"
09/17/2024,"16.82","16.58","16.58","16.58"
09/16/2024,"16.92","17.12","17.12","17.12"
09/13/2024,"16.92","16.05","16.05","16.05"
09/12/2024,"17.90","17.53","17.53","17.53"
09/11/2024,"19.08","19.60","19.60","19.60"
09/10/2024,"19.71","19.54","19.54","19.54"
09/09/2024,"22.37","20.23","20.23","20.23"
09/06/2024,"21.07","22.58","22.58","22.58"
09/05/2024,"20.24","20.05","20.05","20.05"
09/04/2024,"19.48","19.87","19.87","19.87"
09/03/2024,"15.49","17.34","17.34","17.34"
09/02/2024,"15.90","15.41","15.41","15.41"
08/30/2024,"15.36","15.27","15.27","15.27"
08/29/2024,"15.30","15.23","15.23","15.23"
08/28/2024,"15.29","15.59","15.59","15.59"
08/27/2024,"15.55","15.46","15.46","15.46"
08/26/2024,"15.76","15.66","15.66","15.66"
08/23/2024,"15.89","15.31","15.31","15.31"
08/22/2024,"15.39","16.01","16.01","16.01"
08/21/2024,"15.62","15.48","15.48","15.48"
08/20/2024,"14.83","15.46","15.46","15.46"
08/19/2024,"15.39","14.92","14.92","14.92"
08/16/2024,"15.78","14.50","14.50","14.50"
08/15/2024,"16.06","15.31","15.31","15.31"
08/14/2024,"17.80","16.76","16.76","16.76"
08/13/2024,"19.08","18.34","18.34","18.34"
08/12/2024,"19.13","19.29","19.29","19.29"
08/09/2024,"21.23","20.43","20.43","20.43"
08/08/2024,"21.27","21.63","21.63","21.63"
08/07/2024,"25.24","20.75","20.75","20.75"
08/06/2024,"30.49","25.07","25.07","25.07"
08/05/2024,"29.51","31.17","31.17","31.17"
08/02/2024,"20.38","24.52","24.52","24.52"
08/01/2024,"16.02","18.12","18.12","18.12"
07/31/2024,"16.66","15.74","15.74","15.74"
07/30/2024,"16.54","16.53","16.53","16.53"
07/29/2024,"16.21","16.83","16.83","16.83"
07/26/2024,"16.74","16.15","16.15","16.15"
07/25/2024,"17.39","16.93","16.93","16.93"
07/24/2024,"15.35","16.06","16.06","16.06"
07/23/2024,"15.30","14.80","14.80","14.80"
07/22/2024,"16.33","15.69","15.69","15.69"
07/19/2024,"16.32","16.88","15.88","16.32"
07/18/2024,"14.66","15.73","15.73","15.73"
07/17/2024,"14.03","14.55","14.55","14.55"
07/16/2024,"14.30","13.87","13.87","13.87"
07/15/2024,"13.70","13.59","13.59","13.59"
07/12/2024,"13.38","13.06","13.06","13.06"
07/11/2024,"13.95","13.42","13.42","13.42"
07/10/2024,"14.32","13.87","13.87","13.87"
07/09/2024,"13.69","14.60","14.60","14.60"
07/08/2024,"14.14","13.29","13.29","13.29"
07/05/2024,"14.37","14.43","14.43","14.43"
07/04/2024,"14.64","14.62","14.62","14.62"
07/03/2024,"15.58","14.83","14.83","14.83"
07/02/2024,"16.58","15.88","15.88","15.88"
07/01/2024,"18.12","15.90","15.90","15.90"
06/28/2024,"18.83","18.30","18.30","18.30"
06/27/2024,"18.74","19.06","19.06","19.06"
06/26/2024,"17.51","18.98","18.98","18.98"
06/25/2024,"17.79","18.04","18.04","18.04"
06/24/2024,"17.64","17.38","17.38","17.38"
06/21/2024,"17.97","17.60","17.60","17.60"
06/20/2024,"18.19","17.75","17.75","17.75"
06/19/2024,"18.41","18.52","18.52","18.52"
06/18/2024,"19.24","18.60","18.60","18.60"
06/17/2024,"19.49","19.91","19.91","19.91"
06/14/2024,"17.36","19.87","19.87","19.87"
06/13/2024,"14.38","16.75","16.75","16.75"
06/12/2024,"15.61","14.77","14.77","14.77"
06/11/2024,"14.31","15.76","15.76","15.76"
06/10/2024,"14.88","14.51","14.51","14.51"
06/07/2024,"13.22","13.29","13.29","13.29"
06/06/2024,"13.62","13.34","13.34","13.34"
06/05/2024,"14.25","13.93","13.93","13.93"
06/04/2024,"14.43","14.74","14.74","14.74"
06/03/2024,"13.66","14.06","14.06","14.06"
05/31/2024,"14.13","14.14","14.14","14.14"
05/30/2024,"14.60","13.98","13.98","13.98"
05/29/2024,"13.75","14.08","14.08","14.08"
05/28/2024,"12.88","13.31","13.31","13.31"
05/27/2024,"12.97","12.88","12.88","12.88"
05/24/2024,"13.33","12.61","12.61","12.61"
05/23/2024,"12.51","12.52","12.52","12.52"
05/22/2024,"12.61","12.74","12.74","12.74"
05/21/2024,"12.50","12.54","12.54","12.54"
05/20/2024,"12.59","12.44","12.44","12.44"
05/17/2024,"12.82","12.13","12.13","12.13"
05/16/2024,"12.62","12.79","12.79","12.79"
05/15/2024,"13.90","13.09","13.09","13.09"
05/14/2024,"13.94","13.96","13.96","13.96"
05/13/2024,"13.87","13.92","13.92","13.92"
05/10/2024,"13.39","13.60","13.60","13.60"
05/09/2024,"13.62","13.46","13.46","13.46"
05/08/2024,"13.97","13.72","13.72","13.72"
05/07/2024,"14.15","14.09","14.09","14.09"
05/06/2024,"14.66","14.30","14.30","14.30"
05/03/2024,"15.16","14.44","14.44","14.44"
05/02/2024,"15.81","15.43","15.43","15.43"
04/30/2024,"15.13","15.57","15.57","15.57"
04/29/2024,"15.44","15.11","15.11","15.11"
04/26/2024,"15.57","15.26","15.26","15.26"
04/25/2024,"15.79","16.36","16.36","16.36"
04/24/2024,"15.44","15.62","15.62","15.62"
04/23/2024,"16.41","15.79","15.79","15.79"
04/22/2024,"17.79","17.11","17.11","17.11"
04/19/2024,"18.68","18.19","18.19","18.19"
04/18/2024,"18.02","17.52","17.52","17.52"
04/17/2024,"19.13","18.47","18.47","18.47"
04/16/2024,"20.20","19.63","19.63","19.63"
04/15/2024,"17.71","18.52","18.52","18.52"
04/12/2024,"15.49","18.79","18.79","18.79"
04/11/2024,"15.97","16.70","16.70","16.70"
04/10/2024,"15.64","15.91","15.91","15.91"
04/09/2024,"15.64","16.30","16.30","16.30"
04/08/2024,"16.14","15.52","15.52","15.52"
04/05/2024,"15.79","16.12","16.12","16.12"
04/04/2024,"14.23","13.69","13.69","13.69"
04/03/2024,"14.95","14.25","14.25","14.25"
04/02/2024,"13.97","15.18","15.18","15.18"
03/28/2024,"12.80","13.38","13.38","13.38"
03/27/2024,"12.54","12.86","12.86","12.86"
03/26/2024,"12.58","12.45","12.45","12.45"
03/25/2024,"12.96","12.49","12.49","12.49"
03/22/2024,"12.43","12.42","12.42","12.42"
03/21/2024,"12.76","12.18","12.18","12.18"
03/20/2024,"13.30","12.96","12.96","12.96"
03/19/2024,"13.55","13.12","13.12","13.12"
03/18/2024,"13.75","13.83","13.41","13.75"
03/15/2024,"13.33","13.31","13.31","13.31"
03/14/2024,"12.29","13.32","13.32","13.32"
03/13/2024,"13.58","13.14","13.14","13.14"
03/12/2024,"14.52","13.68","13.68","13.68"
03/11/2024,"14.77","14.73","14.73","14.73"
03/08/2024,"13.87","13.72","13.72","13.72"
03/07/2024,"14.69","13.90","13.90","13.90"
03/06/2024,"14.54","14.16","14.16","14.16"
03/05/2024,"14.05","14.69","14.69","14.69"
03/04/2024,"14.10","13.75","13.75","13.75"
03/01/2024,"13.51","13.78","13.78","13.78"
02/29/2024,"13.97","13.78","13.78","13.78"
02/28/2024,"13.40","13.86","13.86","13.86"
02/27/2024,"13.35","13.36","13.36","13.36"
02/26/2024,"14.10","13.44","13.44","13.44"
02/23/2024,"13.85","13.86","13.33","13.85"
02/22/2024,"13.86","13.81","13.81","13.81"
02/21/2024,"14.21","14.55","14.55","14.55"
02/20/2024,"14.22","14.20","14.20","14.20"
02/19/2024,"14.65","14.08","14.08","14.08"
02/16/2024,"14.08","14.61","13.79","14.08"
02/15/2024,"14.10","14.32","14.32","14.32"
02/14/2024,"15.12","14.44","14.44","14.44"
02/13/2024,"14.62","15.03","15.03","15.03"
02/12/2024,"14.34","14.36","14.36","14.36"
02/09/2024,"13.75","13.99","13.99","13.99"
02/08/2024,"13.58","13.76","13.76","13.76"
02/07/2024,"13.53","13.64","13.64","13.64"
02/06/2024,"13.87","13.61","13.61","13.61"
02/05/2024,"14.61","14.16","14.16","14.16"
02/02/2024,"14.28","14.04","14.04","14.04"
02/01/2024,"15.04","14.81","14.81","14.81"
01/31/2024,"14.15","14.84","13.93","14.15"
01/30/2024,"14.10","14.11","14.11","14.11"
01/29/2024,"14.18","14.06","14.06","14.06"
01/26/2024,"13.63","13.61","13.61","13.61"
01/25/2024,"13.67","13.58","13.58","13.58"
01/24/2024,"13.55","13.46","13.46","13.46"
01/23/2024,"13.76","13.58","13.58","13.58"
01/22/2024,"14.12","13.85","13.85","13.85"
01/19/2024,"14.15","14.67","14.00","14.15"
01/18/2024,"14.94","14.51","14.51","14.51"
01/17/2024,"15.10","15.08","15.08","15.08"
01/16/2024,"14.83","14.15","14.15","14.15"
01/15/2024,"13.79","14.11","14.11","14.11"
01/12/2024,"13.48","13.42","13.42","13.42"
01/11/2024,"13.36","13.92","13.92","13.92"
01/10/2024,"13.58","13.39","13.39","13.39"
01/09/2024,"13.96","13.70","13.70","13.70"
01/08/2024,"14.58","14.00","14.00","14.00"
01/05/2024,"14.84","14.12","14.12","14.12"
01/04/2024,"15.30","14.31","14.31","14.31"
01/03/2024,"14.31","15.49","15.49","15.49"
01/02/2024,"14.01","14.49","14.49","14.49"
12/29/2023,"13.37","13.57","13.57","13.57"
12/28/2023,"13.31","13.52","13.52","13.52"
12/27/2023,"14.14","14.14","13.39","14.14"
12/22/2023,"13.72","13.56","13.56","13.56"
12/21/2023,"13.30","13.59","13.59","13.59"
12/20/2023,"12.86","12.74","12.74","12.74"
12/19/2023,"12.75","12.83","12.83","12.83"
12/18/2023,"13.00","12.91","12.91","12.91"
12/15/2023,"12.70","12.12","12.12","12.12"
12/14/2023,"12.84","12.45","12.45","12.45"
12/13/2023,"13.06","13.50","13.50","13.50"
12/12/2023,"13.66","13.21","13.21","13.21"
12/11/2023,"13.99","13.71","13.71","13.71"
12/08/2023,"14.09","13.70","13.70","13.70"
12/07/2023,"14.47","14.21","14.21","14.21"
12/06/2023,"13.93","14.08","14.08","14.08"
12/05/2023,"14.03","14.00","14.00","14.00"
12/04/2023,"14.15","14.12","14.12","14.12"
12/01/2023,"13.50","13.50","13.50","13.50"
11/30/2023,"14.24","13.82","13.82","13.82"
11/29/2023,"13.92","14.20","14.20","14.20"
11/28/2023,"14.34","14.17","14.17","14.17"
11/27/2023,"13.99","14.03","14.03","14.03"
11/24/2023,"13.76","13.40","13.40","13.40"
11/23/2023,"13.49","13.64","13.64","13.64"
11/22/2023,"13.83","13.48","13.48","13.48"
11/21/2023,"13.99","14.07","14.07","14.07"
11/20/2023,"14.38","14.01","14.01","14.01"
11/17/2023,"14.48","14.57","13.84","14.48"
11/16/2023,"14.56","14.68","14.68","14.68"
11/15/2023,"14.90","14.81","14.81","14.81"
11/14/2023,"15.97","15.03","15.03","15.03"
11/13/2023,"16.40","15.87","15.87","15.87"
11/10/2023,"16.30","16.04","16.04","16.04"
11/09/2023,"15.97","15.77","15.77","15.77"
11/08/2023,"16.87","16.05","16.05","16.05"
11/07/2023,"16.84","16.68","16.68","16.68"
11/06/2023,"17.06","16.83","16.83","16.83"
11/03/2023,"17.50","16.84","16.84","16.84"
11/02/2023,"17.67","17.98","17.16","17.67"
11/01/2023,"18.79","18.65","18.65","18.65"
10/31/2023,"20.56","19.71","19.71","19.71"
10/30/2023,"21.49","20.95","20.95","20.95"
10/27/2023,"21.55","20.79","20.79","20.79"
10/26/2023,"22.02","21.50","21.50","21.50"
10/25/2023,"20.72","20.58","20.58","20.58"
10/24/2023,"21.87","20.99","20.99","20.99"
10/23/2023,"23.53","21.94","21.94","21.94"
10/20/2023,"23.92","23.33","23.33","23.33"
10/19/2023,"22.10","22.30","22.30","22.30"
10/18/2023,"20.53","21.64","21.64","21.64"
10/17/2023,"19.52","19.87","19.87","19.87"
10/16/2023,"20.33","19.92","19.92","19.92"
10/13/2023,"17.55","20.18","20.18","20.18"
10/12/2023,"17.32","17.16","17.16","17.16"
10/11/2023,"18.93","17.77","17.77","17.77"
10/10/2023,"19.06","18.61","18.61","18.61"
10/09/2023,"20.71","20.24","20.24","20.24"
10/06/2023,"19.06","18.65","18.65","18.65"
10/05/2023,"20.10","19.66","19.66","19.66"
10/04/2023,"20.77","20.22","20.22","20.22"
10/03/2023,"19.41","20.20","20.20","20.20"
10/02/2023,"17.76","18.92","18.92","18.92"
09/29/2023,"18.15","17.47","17.47","17.47"
09/28/2023,"19.44","18.82","18.82","18.82"
09/27/2023,"19.58","19.51","19.51","19.51"
09/26/2023,"20.19","19.77","19.77","19.77"
09/25/2023,"17.72","19.08","19.08","19.08"
09/22/2023,"17.46","16.96","16.96","16.96"
09/21/2023,"16.45","17.12","17.12","17.12"
09/20/2023,"16.25","15.41","15.41","15.41"
09/19/2023,"16.31","16.35","16.35","16.35"
09/18/2023,"15.89","16.54","15.63","15.89"
09/15/2023,"14.68","14.86","13.96","14.68"
09/14/2023,"16.21","14.75","14.75","14.75"
09/13/2023,"16.84","16.50","16.50","16.50"
09/12/2023,"16.27","16.52","16.52","16.52"
09/11/2023,"16.28","16.23","16.23","16.23"
09/08/2023,"16.50","16.16","16.16","16.16"
09/07/2023,"17.19","16.99","16.99","16.99"
09/06/2023,"16.92","16.80","16.80","16.80"
09/05/2023,"17.14","16.35","16.35","16.35"
09/04/2023,"15.97","16.66","16.66","16.66"
09/01/2023,"16.05","15.94","15.94","15.94"
08/31/2023,"16.60","16.06","16.06","16.06"
08/30/2023,"16.77","16.56","16.56","16.56"
08/29/2023,"17.62","16.78","16.78","16.78"
08/28/2023,"18.40","17.82","17.82","17.82"
08/25/2023,"19.16","18.47","18.47","18.47"
08/24/2023,"18.12","18.90","18.90","18.90"
08/23/2023,"18.63","18.50","18.50","18.50"
08/22/2023,"19.10","19.13","19.13","19.13"
08/21/2023,"19.99","19.84","19.84","19.84"
08/18/2023,"20.77","21.65","20.21","20.77"
08/17/2023,"19.44","20.35","20.35","20.35"
08/16/2023,"19.19","18.55","18.55","18.55"
08/15/2023,"17.89","18.86","18.86","18.86"
08/14/2023,"18.92","18.05","18.05","18.05"
08/11/2023,"18.38","18.37","18.37","18.37"
08/10/2023,"18.00","18.08","18.08","18.08"
08/09/2023,"18.42","18.98","18.98","18.98"
08/08/2023,"19.11","19.54","19.54","19.54"
08/07/2023,"19.43","19.61","18.36","19.43"
08/04/2023,"19.09","18.35","18.35","18.35"
08/03/2023,"20.23","19.65","19.65","19.65"
08/02/2023,"18.75","19.71","19.71","19.71"
08/01/2023,"16.35","17.19","17.19","17.19"
07/31/2023,"15.87","16.23","16.23","16.23"
07/28/2023,"15.54","15.22","15.22","15.22"
07/27/2023,"15.57","14.97","14.97","14.97"
07/26/2023,"15.85","16.10","16.10","16.10"
07/25/2023,"15.69","15.48","15.48","15.48"
07/24/2023,"15.95","15.53","15.53","15.53"
07/21/2023,"15.92","14.94","14.94","14.94"
07/20/2023,"16.50","15.69","15.69","15.69"
07/19/2023,"15.06","15.97","15.97","15.97"
07/18/2023,"15.87","15.51","15.51","15.51"
07/17/2023,"15.69","15.83","15.83","15.83"
07/14/2023,"15.15","14.80","14.80","14.80"
07/13/2023,"15.01","15.05","15.05","15.05"
07/12/2023,"16.48","15.18","15.18","15.18"
07/11/2023,"17.07","16.57","16.57","16.57"
07/10/2023,"18.54","17.50","17.50","17.50"
07/07/2023,"18.54","17.54","17.54","17.54"
07/06/2023,"19.23","19.23","19.23","19.23"
07/05/2023,"15.29","15.29","15.29","15.29"
07/04/2023,"14.10","14.10","14.10","14.10"
07/03/2023,"13.87","13.65","13.65","13.65"
06/30/2023,"14.09","13.61","13.61","13.61"
06/29/2023,"14.21","14.25","14.25","14.25"
06/28/2023,"14.94","14.21","14.21","14.21"
06/27/2023,"15.40","15.20","15.20","15.20"
06/26/2023,"16.21","15.88","15.88","15.88"
06/23/2023,"15.03","15.35","15.35","15.35"
06/22/2023,"15.63","14.86","14.86","14.86"
06/21/2023,"14.47","14.40","14.40","14.40"
06/20/2023,"14.41","14.65","14.65","14.65"
